TransactionID,TransactionAmt,sbm_score,isFraud
2987000,68.5,0.6065943574262256,0
2987001,29.0,0.5894664304976168,0
2987002,59.0,0.7219856334464242,0
2987003,50.0,0.40647523712021816,0
2987004,50.0,0.6651935050846007,0
2987005,49.0,0.4679461527743653,0
2987006,159.0,0.5662172117502702,0
2987007,422.5,0.6002638231299898,0
2987008,15.0,0.7012472681533739,0
2987009,117.0,0.4946762383253752,0
2987010,75.887,0.7362406540959907,0
2987011,16.495,0.6895994813848202,0
2987012,50.0,0.643602709254049,0
2987013,40.0,0.6648767024029505,0
2987014,10.5,0.6060427188360713,0
2987015,57.95,0.48442832534529195,0
2987016,30.0,0.6547325286351379,0
2987017,100.0,0.6649081358296804,0
2987018,47.95,0.6060427188360713,0
2987019,186.0,0.49400447010969967,0
2987020,39.0,0.513233124892408,0
2987021,159.95,0.4946762383253752,0
2987022,50.0,0.6253122584238835,0
2987023,107.95,0.513233124892408,0
2987024,73.95,0.4679461527743653,0
2987025,107.95,0.4946762383253752,0
2987026,184.0,0.6870357109907308,0
2987027,47.95,0.6060427188360713,0
2987028,20.0,0.4064752371202181,0
2987029,36.99,0.586898780354485,0
2987030,35.0,0.5662172117502702,0
2987031,363.89,0.6177832545008116,0
2987032,200.0,0.6060427188360713,0
2987033,40.0,0.40647523712021816,0
2987034,107.95,0.5662172117502702,0
2987035,107.95,0.5662172117502702,0
2987036,77.0,0.5247453174527362,0
2987037,21.95,0.4679461527743653,0
2987038,25.0,0.5041412172241112,0
2987039,39.95,0.5662172117502702,0
2987040,75.887,0.7615408010914045,0
2987041,774.0,0.5247453174527362,0
2987042,117.0,0.6285825267047516,0
2987043,49.0,0.5474646412117194,0
2987044,39.5,0.5662172117502702,0
2987045,36.95,0.5662172117502702,0
2987046,49.0,0.586898780354485,0
2987047,15.0,0.6648767024029505,0
2987048,42.294,0.7184067778383458,0
2987049,3.595,0.7747491150755077,0
2987050,117.0,0.6060427188360713,0
2987051,226.0,0.6060427188360713,0
2987052,117.0,0.513233124892408,0
2987053,130.95,0.40647523712021816,0
2987054,34.0,0.4679461527743653,0
2987055,210.95,0.5648404457792511,0
2987056,500.0,0.48442832534529195,0
2987057,50.0,0.6724170286669539,0
